Matrix Key,Area,Asset,Canonical ID,Repository Filename,Media Type,Batch,Evidence Strength,Inclusion,Story Role,Narrative Story,Primary Narrative Section,Proposed Report Use,Qualification / Caution,Inspector Review,Inspector Note
UGU4-REF-011,Underground - Secondary Plant,U4 Tripper Car,UGU4-REF-011,UGU4-REF-011.JPG,Photo,A,Direct,A,MAINTENANCE / DESIGN DETAIL; REMEDIAL-CONCEPT CONTEXT,U4 tracking-to-consequence sequence plus separate fines accumulation story,15. U4 Tripper Car - Strong Local Cause-and-Effect Example,Custom cleaner geometry retained as appendix/reference evidence explaining U4-specific configuration.,U4 cleaner arrangement remains technically distinct from CV09 even though this image is no longer essential-body priority.,ACCEPTED / QUICK VALIDATION CLOSED,Downgraded E to A; cleaner exception remains in context.
UGU4-REF-012,Underground - Secondary Plant,U4 Tripper Car,UGU4-REF-012,UGU4-REF-012.JPG,Photo,A,Direct,A,MAINTENANCE / DESIGN DETAIL; REMEDIAL-CONCEPT CONTEXT,U4 tracking-to-consequence sequence plus separate fines accumulation story,15. U4 Tripper Car - Strong Local Cause-and-Effect Example,Alternate custom-cleaner geometry reference.,Not required in the principal body chain; retains appendix/reference value.,ACCEPTED / QUICK VALIDATION CLOSED,Downgraded S to A.
LoadoutStationL3-REF-001,Surface - Loading Station,L3 Conveyor,LoadoutStationL3-REF-001,LoadoutStationL3-REF-001.jpg,Photo,B,Supporting / source-recorded alignment observation,E,MECHANISM; DEFECT / CONDITION,L3 alignment concern with separately evidenced fines spillage,16. L3 - Alignment Concern Without Proven Solid-Product Causal Chain,Principal tail-end offset/alignment image.,Offset is visually supported but unmeasured; current record does not establish a direct causal chain to significant solid/lump-product loss.,ACCEPTED / QUICK VALIDATION CLOSED,Retain E.
LoadoutStationL3-REF-002,Surface - Loading Station,L3 Conveyor,LoadoutStationL3-REF-002,LoadoutStationL3-REF-002.jpg,Photo,B,Context / Supporting,E,EXTENT / SEVERITY; CONSEQUENCE; TOPOLOGY / ORIENTATION,L3 alignment concern with separately evidenced fines spillage,16. L3 - Alignment Concern Without Proven Solid-Product Causal Chain,First image in the principal fines-spillage set showing fines/material accumulation in the L3 conveyor/guarding area.,Use to demonstrate fines spillage separately from the alignment finding; do not imply the tail-end offset caused the deposits without additional evidence.,ACCEPTED / QUICK VALIDATION CLOSED,Elevated A to E; pair with REF-004 and REF-007.
LoadoutStationL3-REF-003,Surface - Loading Station,L3 Conveyor,LoadoutStationL3-REF-003,LoadoutStationL3-REF-003.jpg,Photo,B,Context / Supporting,A,TOPOLOGY / ORIENTATION; MECHANISM,L3 alignment concern with separately evidenced fines spillage,16. L3 - Alignment Concern Without Proven Solid-Product Causal Chain,Internal belt/idler geometry retained as appendix/reference context.,Not required in the principal body chain after quick validation.,ACCEPTED / QUICK VALIDATION CLOSED,Downgraded S to A.
LoadoutStationL3-REF-004,Surface - Loading Station,L3 Conveyor,LoadoutStationL3-REF-004,LoadoutStationL3-REF-004.jpg,Photo,B,Context / Supporting,E,EXTENT / SEVERITY; CONSEQUENCE; TOPOLOGY / ORIENTATION,L3 alignment concern with separately evidenced fines spillage,16. L3 - Alignment Concern Without Proven Solid-Product Causal Chain,Second image in the principal fines-spillage set, adding local conveyor/support-area distribution context.,Use as fines-spillage evidence; not as proof that alignment is the initiating cause.,ACCEPTED / QUICK VALIDATION CLOSED,Elevated A to E; pair with REF-002 and REF-007.
LoadoutStationL3-REF-005,Surface - Loading Station,L3 Conveyor,LoadoutStationL3-REF-005,LoadoutStationL3-REF-005.jpg,Photo,B,Context,A,TOPOLOGY / ORIENTATION,L3 alignment concern with separately evidenced fines spillage,16. L3 - Alignment Concern Without Proven Solid-Product Causal Chain,General guarded arrangement retained for appendix/reference.,No unique body relationship after quick validation.,ACCEPTED / QUICK VALIDATION CLOSED,Retain A.
LoadoutStationL3-REF-006,Surface - Loading Station,L3 Conveyor,LoadoutStationL3-REF-006,LoadoutStationL3-REF-006.jpg,Photo,B,Context,A,TOPOLOGY / ORIENTATION,L3 alignment concern with separately evidenced fines spillage,16. L3 - Alignment Concern Without Proven Solid-Product Causal Chain,General structural/access context retained for appendix/reference.,No unique body relationship after quick validation.,ACCEPTED / QUICK VALIDATION CLOSED,Retain A.
LoadoutStationL3-REF-007,Surface - Loading Station,L3 Conveyor,LoadoutStationL3-REF-007,LoadoutStationL3-REF-007.jpg,Photo,B,Direct,E,DEFECT / CONDITION; CONSEQUENCE; EXTENT / SEVERITY,L3 alignment concern with separately evidenced fines spillage,16. L3 - Alignment Concern Without Proven Solid-Product Causal Chain,Third/principal close fines-spillage image showing substantial fine-material coating/accumulation on side guarding and adjacent structure.,Shows the separate fines contamination condition; current evidence still does not establish that tail-end offset caused significant solid-product loss.,ACCEPTED / QUICK VALIDATION CLOSED,Retain E; principal fines image with REF-002 and REF-004.
LoadoutStationL3-REF-008,Surface - Loading Station,L3 Conveyor,LoadoutStationL3-REF-008,LoadoutStationL3-REF-008.jpg,Photo,B,Direct,S,EXTENT / SEVERITY; CONSEQUENCE,L3 alignment concern with separately evidenced fines spillage,16. L3 - Alignment Concern Without Proven Solid-Product Causal Chain,Supporting lower-area fines/small-fragment accumulation beneath the conveyor.,Supporting consequence image; useful where body layout needs an additional lower-area relationship view.,ACCEPTED / QUICK VALIDATION CLOSED,Retain S.
